日期,場次,現有地點,距離km,缺口狀態,Notion連結
2026-05-09,"吳沙宜蘭之路（測試）","宜蘭文學館",47.7,已有結構化路線,https://www.notion.so/24c9ff25fdab800abe38dfddead28957
2026-03-29,"走讀12場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80cdaac5e9b9d9ca43ad
2026-03-22,"走讀10場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80169f77f4a646e18306
2026-03-21,"走讀09場｜114庄頭","",,全空待補,https://www.notion.so/2d99ff25fdab801bafc8c2cd1cf542d1
2026-03-14,"走讀08場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab804ebaa6f7c3ab71024c
2026-03-07,"走讀07場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab804f8d81fd1617a3391a
2026-03-01,"走讀05場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80d788acfd668672f499
2026-01-10,"走讀06場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80f88f79c62d3727967e
2025-12-27,"走讀05場｜114庄頭","旅人書店",,有場地或距離線索,https://www.notion.so/2d99ff25fdab80a0bb0bf7d8f9e5d4b8
2025-12-20,"走讀04場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab802b837bd1ae05db719f
2025-11-29,"走讀03場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80deb56ceb20ec1982c9
2025-11-22,"走讀02場｜114文學館","",,全空待補,https://www.notion.so/2719ff25fdab8066b535d17808b5a4d4
2025-11-22,"走讀02場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80c09b27c902f86cd91e
2025-11-16,"走讀01場｜114庄頭","",,全空待補,https://www.notion.so/2539ff25fdab80cd9ebdfc959a2de9b4
2025-08-30,"114家庭｜活動第12場","頭城",,有場地或距離線索,https://www.notion.so/1dd9ff25fdab8078bccdfec97fb25d3d
2025-08-30,"114家庭｜活動第11場","頭城",,有場地或距離線索,https://www.notion.so/1dd9ff25fdab8070bc5dd769ae70db4f
2025-08-16,"宜日旅人01場｜2025現思","",,全空待補,https://www.notion.so/24c9ff25fdab80b48863e561e049071d
2025-07-16,"114家庭｜活動第09場","",,全空待補,https://www.notion.so/1dd9ff25fdab8055ab2cf75c7c2cf3c0
2025-07-16,"114家庭｜活動第10場","",,全空待補,https://www.notion.so/1dd9ff25fdab80dfbd22d9038e396c43
2025-06-21,"113鐵道展｜鐵道主題走讀11場","",,全空待補,https://www.notion.so/24c9ff25fdab80b38179e83308260e0b
2025-05-17,"113鐵道展｜鐵道主題走讀10場","",,全空待補,https://www.notion.so/24c9ff25fdab8059b479ce4a8cc15f20
2025-04-16,"114家庭｜活動第07場","",,全空待補,https://www.notion.so/1dd9ff25fdab80b0a391d663a69c1fd6
2025-04-16,"114家庭｜活動第08場","",,全空待補,https://www.notion.so/1dd9ff25fdab801b90acd9a74370f730
2025-03-23,"113鐵道展｜鐵道主題走讀08場","",,全空待補,https://www.notion.so/24c9ff25fdab80ccb4d7e0257cd2fa62
2025-02-22,"113鐵道展｜鐵道主題走讀07場","",,全空待補,https://www.notion.so/24c9ff25fdab80918c75f3fae193170f
2025-02-15,"走讀｜113潮間帶｜老屋導覽走讀01場","",,全空待補,https://www.notion.so/1ff9ff25fdab804982cfe6863a72b3a7
2024-11-18,"走讀｜113工作站｜與潮走讀05（賴元淵）","",,全空待補,https://www.notion.so/1ff9ff25fdab80328012d7e6f1b6c05e
2024-11-16,"113文學館｜文學走讀+料理寫作課解密文學館","",,全空待補,https://www.notion.so/f73b8cdcefdb47c1ab41667ab083f059
2024-11-08,"113工作站｜與潮走讀04（許馬克）","",,全空待補,https://www.notion.so/1ff9ff25fdab80c6b7bfcbc77edc478e
2024-10-31,"113工作站｜與潮走讀03（許馬克）","",,全空待補,https://www.notion.so/1ff9ff25fdab80d0bc21e07fadc99093
2024-10-21,"113工作站｜與潮諮詢鏈結南方澳走讀02（林國賓）","",,全空待補,https://www.notion.so/1ff9ff25fdab8044ab31c82c3a290d57
2024-10-21,"114工作站｜南方澳走讀","",,全空待補,https://www.notion.so/0f64da43b04e4ab2a18e4723c935bdd0
2024-10-13,"113工作站｜花蓮地方創生見學團第6場","",,全空待補,https://www.notion.so/1049ff25fdab8167a9c9cd244be1530a
2024-10-11,"113工作站｜與潮諮詢鏈結南方澳走讀01（賴元淵）","",,全空待補,https://www.notion.so/1ff9ff25fdab809b8f37f674a2ced198
2024-09-30,"113鐵道展｜通車百年紀念走讀（蘭博旅人）","",,全空待補,https://www.notion.so/22a9ff25fdab808da1d9fda16a7ab19d
2024-09-26,"113運籌｜館舍交流01場","",,全空待補,https://www.notion.so/03b9f2866a0e4a41b7a44c9cb1654c2e
2024-09-17,"113鐵道展｜鐵道主題走讀06場（觀月列車）","",,全空待補,https://www.notion.so/b3fe3be1021f4d42a6e0e04dfa43e81e
2024-09-16,"113運籌｜館舍交流02場","",,全空待補,https://www.notion.so/4aece9fd1be9414c94975beb4ff14910
2024-09-14,"113文學館｜舊城走讀暨料理寫作課","",,全空待補,https://www.notion.so/1a69ff25fdab809aa24dda69d92fa5d8
2024-08-25,"113工作站｜南澳地方創生見學團第4場","",,全空待補,https://www.notion.so/1049ff25fdab81659251d955d56652a5
2024-08-10,"113工作站｜桃園地方創生見學團第5場","",,全空待補,https://www.notion.so/1049ff25fdab81c99904c69e956aa89d
2024-08-03,"113鐵道展｜鐵道主題走讀04場","",,全空待補,https://www.notion.so/f3cae11a804d4d0e8d9196d483f7d9a4
2024-06-30,"113工作站｜苗栗地方創生見學團第3場","",,全空待補,https://www.notion.so/1049ff25fdab81cea860f6b03ba52c36
